中文,类型-英文,服务-英文,类型-土耳其语,服务-土耳其语
免费Wifi,Common,Free Wifi,Yaygın,Ücretsiz Wifi
可停车 ,Common,Parking Available,Yaygın,Otopark Var
预订座位 ,Common,Boook a table,Yaygın,Rezervasyonlar
提供外卖 ,Common,Takeaway,Yaygın,Paket Yemek
送餐服务,Common,Food Delivery Service,Yaygın,Dışarı Yemek Servisi
餐桌服务,Common,Table Service,Yaygın,Masaya Servis
信用卡 ,Common,Credit card,Yaygın,Kredi Kartı Geçerli
数字支付,Common,Digital payment,Yaygın,Dijital Ödemeler
吸烟 ,Common,Shisha,Yaygın,Sigara içmek
禁烟餐厅 ,Common,Non-smoking rastaurants,Yaygın,Sigara içilmeyen restoranlar
自助餐 ,Food,Buffet,Gıda,Açık Büfe
家常菜 ,Food,Family style,Gıda,Aile tarzı
葡萄酒和啤酒,Food,Wine and beer,Gıda,Şarap ve Bira
饮料,Food,Drink,Gıda,Tüm İçkiler
纯素食 ,Food,Pure Veg,Gıda,saf sebze
提供酒水 ,Food,Alcohol served,Gıda,Alkol servisi
早餐 ,Food,Breakfast,Gıda,Sabah kahvaltısı
点心烘焙 ,Food,Dessert and Bakes,Gıda,Tatlı ve Pastalar
清真寺,Food,Mescit,Gıda,Mescit
拉基,Food,Rakı,Gıda,Rakı
午餐,Food,İş Yemeği İçin Uygun,Gıda,Öğle yemeği
现场音乐,Service,Live Music,Servisi,Canlı Müzik
游乐场 ,Service,Playgrounds,Servisi,Oyun alanları
儿童摇椅,Service,Baby Chair,Servisi,Bebek Sandalyesi
带宠物,Service,Dog Friendly,Servisi,Köpek Dostu
电视,Service,Television,Servisi,Televizyon
轮椅通道,Service,Wheelchair Access,Servisi,Tekerlekli Sandalye İle Erişim
私人用餐,Service,Private Dining,Servisi,Özel Yemek
团体晚餐,Service,Grup Yemeği,Servisi,Grup Yemeği
浪漫的晚餐,Service,Romantik Yemek,Servisi,Romantik Yemek
提供移动充电器,Service,Mobil Şarj Aleti Mevcut,Servisi,Mobil Şarj Aleti Mevcut
桌上游戏,Service,Masa Oyunları,Servisi,Masa Oyunları
自助服务,Service,Self Servis,Servisi,Self Servis
夜生活,Service,Gece Hayatı,Servisi,Gece Hayatı
适合儿童,Service,Çocuklar için Uygun,Servisi,Çocuklar için Uygun
纳吉尔,Service,Nargile,Servisi,Nargile
室内座位,Seating,Indoor Seating,Oturma,Kapalı Oturma
户外座位 ,Seating,Outdoor Seating,Oturma,Açık Havada Oturma
天台 ,Seating,Rooftop,Oturma,çatı katı
靠近海边 ,Seating,Seaside,Oturma,Su Kıyısında
湖边,Seating,Göl Kenarı,Oturma,Göl Kenarı
河景,Seating,Nehir Manzarası,Oturma,Nehir Manzarası
汽车餐厅 ,Seating,Drive Thru,Oturma,Arabaya servis
支持代金券,Payment,Gift cards available,Ödeme,Hediye Kartıyla Yemek
现金支付,Payment,Cash,Ödeme,Sadece Nakit
